NIPP PEKERJA,POSISI PEKERJA,PERUSAHAAN,NAMA KPI,FORMULA KPI,SATUAN,POLARITAS,BOBOT,TARGET TW TERKAIT,REALISASI TW TERKAIT
109982.0,Manager Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Pemenuhan Peserta dalam Program Pengembangan SDM baik Core mapun Supporting Program,(Realisasi Peserta Program / Target jumlah peserta program) x 100%,%,Positif,20,75,120.0
109982.0,Manager Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Pemenuhan Peserta dalam Program Pengembangan SDM baik Core mapun Supporting Program,(Realisasi Peserta Program / Target jumlah peserta program) x 100%,%,Positif,20,75,120.0
109982.0,Manager Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Pengelolaan Knowledge Management,(Program KM yang terealisasi / Program KM yang direncanakan) x 100%,%,Positif,15,60,76.33
109982.0,Manager Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Pengelolaan Knowledge Management,(Program KM yang terealisasi / Program KM yang direncanakan) x 100%,%,Positif,15,60,76.33
106549.0,Senior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Program Ready to Retire,(Jumlah realisasi peserta program purna bhakti / target peserta program purna bhakti) x 100%,%,Positif,25,70,70.0
106549.0,Senior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Program Ready to Retire,(Jumlah realisasi peserta program purna bhakti / target peserta program purna bhakti) x 100%,%,Positif,25,70,70.0
106549.0,Senior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Penyusunan Laporan Monitoring Risiko,(Jumlah penyampaian laporan yang sesuai SLA / Jumlah laporan ) x 100%,%,Positif,15,100,100.0
106549.0,Senior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Penyusunan Laporan Monitoring Risiko,(Jumlah penyampaian laporan yang sesuai SLA / Jumlah laporan ) x 100%,%,Positif,15,100,100.0
111129.0,Junior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Review Pelaporan penyelenggaraan course dengan SLA,(Review pelaporan penyelenggaraan course sesuai SLA / Jumlah  ) x 100%,%,Positif,10,90,100.0
111129.0,Junior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Review Pelaporan penyelenggaraan course dengan SLA,(Review pelaporan penyelenggaraan course sesuai SLA / Jumlah  ) x 100%,%,Positif,10,90,100.0
111129.0,Junior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Enhancement Aplikasi Portaverse Knowledge,Progress capaian project Enhancement Aplikasi Portaverse Knowledge,%,Positif,15,70,70.0
111129.0,Junior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Enhancement Aplikasi Portaverse Knowledge,Progress capaian project Enhancement Aplikasi Portaverse Knowledge,%,Positif,15,70,70.0
111129.0,Junior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Pengelolaan Program Campaign Portaverse Knowledge,"1. (Jumlah realisasi program campaign portaverse knowledge / target program campaign portaverse knowledge) x 100% (70%)
2. (Jumlah Pekerja organik pada HO yang memenuhi target KM Point / Total Pekerja organik pada HO) X 100% (30%)
Target KM Point :
- TW I = 10 Poin
- TW II = 20 Poin
- TW III = 50 Poin
- TW IV = 70 Poin",%,Positif,15,75,100.0
111129.0,Junior Officer I Pelaksanaan Pembelajaran,PT Pelabuhan Indonesia (Persero),Pengelolaan Program Campaign Portaverse Knowledge,"1. (Jumlah realisasi program campaign portaverse knowledge / target program campaign portaverse knowledge) x 100% (70%)
2. (Jumlah Pekerja organik pada HO yang memenuhi target KM Point / Total Pekerja organik pada HO) X 100% (30%)
Target KM Point :
- TW I = 10 Poin
- TW II = 20 Poin
- TW III = 50 Poin
- TW IV = 70 Poin",%,Positif,15,75,100.0
110803.0,Junior Officer II Rekrutmen dan Karir,PT Pelabuhan Indonesia (Persero),Pelaksanaan Mutasi/ Pemenuhan Pekerja,Realisasi ijin prinsip paling lambat 3 hari sebelum akhir bulan per nama,%,Positif,20,100,105.0
110803.0,Junior Officer II Rekrutmen dan Karir,PT Pelabuhan Indonesia (Persero),Pelaksanaan Mutasi/ Pemenuhan Pekerja,Realisasi ijin prinsip paling lambat 3 hari sebelum akhir bulan per nama,%,Positif,20,100,105.0
110803.0,Junior Officer II Rekrutmen dan Karir,PT Pelabuhan Indonesia (Persero),Pelaksanaan job bidding,Realisasi pelaksanaan job bidding sesuai target,%,Positif,15,100,100.0
110803.0,Junior Officer II Rekrutmen dan Karir,PT Pelabuhan Indonesia (Persero),Pelaksanaan job bidding,Realisasi pelaksanaan job bidding sesuai target,%,Positif,15,100,100.0
110803.0,Junior Officer II Rekrutmen dan Karir,PT Pelabuhan Indonesia (Persero),Progres development TMS,Progres pengembangan TMS sesuai inisiatif strategis,%,Positif,15,82,79.0
110803.0,Junior Officer II Rekrutmen dan Karir,PT Pelabuhan Indonesia (Persero),Progres development TMS,Progres pengembangan TMS sesuai inisiatif strategis,%,Positif,15,82,79.0
108799.0,Department Head Strategi dan Tata Kelola TI,PT Pelabuhan Indonesia (Persero),EBITDA,"Operating Income + Depreciation Expenses + Amortization Expenses + Gain (Loss) on Forex + Income from Associated Entities and Joint_x000D_
Venture",Currency,Positif,10,7545,8203.0
108799.0,Department Head Strategi dan Tata Kelola TI,PT Pelabuhan Indonesia (Persero),EBITDA,"Operating Income + Depreciation Expenses + Amortization Expenses + Gain (Loss) on Forex + Income from Associated Entities and Joint_x000D_
Venture",Currency,Positif,10,7545,8203.0
108799.0,Department Head Strategi dan Tata Kelola TI,PT Pelabuhan Indonesia (Persero),BOPO,(Beban Operasi / Pendapatan Operasi pada level induk perusahaan (Kantor pusat + Regional)),%,Negatif,5,92.39,91.8
108799.0,Department Head Strategi dan Tata Kelola TI,PT Pelabuhan Indonesia (Persero),BOPO,(Beban Operasi / Pendapatan Operasi pada level induk perusahaan (Kantor pusat + Regional)),%,Negatif,5,92.39,91.8
